�;;;;;;;;;;;;;;;;;
69 000 $,2 комнаты,1113 $ за м²,21 из 25,год постройки2018,монолитно-каркасные,62 м²,ул. Каховская,60;;;;;;;;;;;;;;;;;
205 000 $,2 комнаты,2697 $ за м²,12 из 23,год постройки2014,монолитно-каркасные,76 / 20 / 6 м²,ул. Глубочицкая, 32а;;;;;;;;;;;;;;;;;
211 000 $,3 комнаты,1005 $ за м²,4-этажный дом,год постройки1906,кирпичные,210 / 69 / 15 м²,ул. Сечевых Стрельцов (Артёма),10;;;;;;;;;;;;;;;;;
36 500 $,1 комната,1106 $ за м²,5 из 5,год постройки1962,кирпичные,33 / 18 / 7 м²,ул. Вышгородская,44;;;;;;;;;;;;;;;;;
3 176 715 грн,1 комната,47 556 грн за м²,16 из 26,*** not found ,*** not found ,66.8 / 17.96 / 10.36 м²,ул. Бойчука (Киквидзе),;;;;;;;;;;;;;;;;;
155 000 $,2 комнаты,2500 $ за м²,14 из 24,год постройки2017,монолитно-каркасные,62 / 40 / 10 м²,ул. Предславинская,57;;;;;;;;;;;;;;;;;
109 000 $,3 комнаты,1068 $ за м²,13 из 25,год постройки2009,монолитно-каркасные,102.1 / 65.8 / 13.9 м²,ул. Вадима  Гетьмана, 1а;;;;;;;;;;;;;;;;;
120 000 $,3 комнаты,1091 $ за м²,3 из 16,год постройки2002,утепленная панель,110 / 54 / 13 м²,ул. Драгоманова,12;;;;;;;;;;;;;;;;;
55 000 $,2 комнаты,1078 $ за м²,10 из 10,год постройки1990,утепленная панель,51 / 31 / 8 м²,ул. Нежинская,7;;;;;;;;;;;;;;;;;
48 000 $,2 комнаты,1091 $ за м²,7 из 9,год постройки1971,кирпичные,44 / 30 / 7 м²,ул. Кучера,8;;;;;;;;;;;;;;;;;
235 000 $,2 комнаты,2582 $ за м²,6 из 24,год постройки2010,монолитно-каркасные,91 / 44 / 21 м²,просп. Голосеевский (40-летия Октября),62;;;;;;;;;;;;;;;;;
41 000 $,1 комната,1464 $ за м²,9 из 9,год постройки1969,*** not found ,28 / 17 / 5 м²,ул. Ильенко (Мельникова),83;;;;;;;;;;;;;;;;;
143 000 $,1 комната,2554 $ за м²,10 из 11,*** not found ,<span>7 декабря 2020 г.</span>,56 м²,ул. Бойчука (Киквидзе),;;;;;;;;;;;;;;;;;
65 000 $,3 комнаты,966 $ за м²,9 из 9,год постройки1983,кирпичные,67.3 / 39.7 / 7 м²,ул. Половецкая,16;;;;;;;;;;;;;;;;;
